channel,channel_id,p_in_ref,p_min,p_max,u_min,u_max,v_min,v_max,valid_cell_centers,n_cells,lower_wall_zone,upper_wall_zone,inlet_zone,outlet_zone
channel_152,152,1472.9269445720154,-27.4906719172356,4621.20951850458,0.006209175581106297,1.501729236351346,-0.2941968416639413,0.3006898736947191,234446,234446,1,3,4,2
channel_153,153,1518.2269559138376,-27.726351138216696,4599.628754211999,0.008225883842313875,1.5684526111835053,-0.2940096868803861,0.28420396401712794,232396,232396,1,3,4,2
channel_154,154,1593.4788979085474,-29.81634819922137,4456.368087482557,0.008871224112740972,1.5864325110019828,-0.26512552141965817,0.27081779682667223,229860,229860,1,3,4,2
channel_155,155,1393.2673730153695,-30.226963211173093,4706.803214729291,0.011386526560483036,1.4771815800695378,-0.30649611600956567,0.3149231565258059,240860,240860,1,3,4,2
channel_156,156,1666.7064339019637,-35.98736717875307,5469.172619442313,0.0046210313512952544,1.575131987920292,-0.3226291000661336,0.336889142307533,225858,225858,1,3,4,2
channel_157,157,1535.6182032346912,-27.45185569557692,4321.818198476477,0.0089694652158986,1.5336862379229017,-0.27616213786589333,0.274390526864958,231180,231180,1,3,4,2
channel_158,158,1436.859556595768,-32.214676866842254,4526.913375817571,0.008148148352030555,1.5118935741231927,-0.2798540673183057,0.29277524534632415,236796,236796,1,3,4,2
channel_159,159,1595.6081527027827,-31.02930183298461,4213.737344456781,0.007006438329546258,1.5753312128444663,-0.23974498778273362,0.24945462375720687,229486,229486,1,3,4,2
channel_160,160,1569.6131705457399,-32.028589873623716,4995.127638229384,0.0074220689854021,1.557083170167765,-0.3235375904284188,0.32578006425800854,230112,230112,1,3,4,2
channel_161,161,1542.4702817913508,-24.462581564521454,4704.558451415787,0.007053582231170571,1.5640856991699654,-0.2964306949834689,0.2892554664609191,232594,232594,1,3,4,2
channel_162,162,1630.1687553947545,-30.314606166200505,5216.24508150318,0.0060138553592704765,1.5632771898137876,-0.3412004025426744,0.3386927352493576,227138,227138,1,3,4,2
channel_163,163,1658.9582838016127,-23.907360857045465,4893.718641194795,0.004042105647307984,1.601839838591334,-0.303124401806648,0.3085122923302097,224914,224914,1,3,4,2
channel_164,164,1409.0885035618435,-32.76691390463936,4033.199174203861,0.00530543384598184,1.5168426353425124,-0.2412521411197045,0.24514779996562777,238280,238280,1,3,4,2
channel_165,165,1505.8477136425308,-28.981648913392277,5056.835178578763,0.006041570930652694,1.514793667208934,-0.3306401549064173,0.33614678901526607,232818,232818,1,3,4,2
channel_166,166,1593.03978090264,-29.024455477761403,4902.896520762444,0.011127400710572003,1.5453708137344633,-0.3075206735592228,0.312052701622265,229162,229162,1,3,4,2
