case,status,spec_json,step_path,mesh_path,case_data_path,pin_txt,pout_txt,uin_mps,pin_pa,pout_pa,dp_pa,vin_mps,vout_mps,reynolds_number,flow_regime,mass_conservation_rel_error,physics_ok,inlet_name,outlet_name,wall_bottom_name,wall_top_name,elapsed_sec
channel_010,ok,/home/hantianl/Documents/PIDIF/2d_geometry_specs/cylinder/channel_010.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/cylinder/channel_010.step,/home/hantianl/Documents/PIDIF/runs_2d/cylinder/channel_010/channel_010.msh.h5,/home/hantianl/Documents/PIDIF/runs_2d/cylinder/channel_010/case2d.cas.h5,/home/hantianl/Documents/PIDIF/runs_2d/cylinder/channel_010/pin.txt,/home/hantianl/Documents/PIDIF/runs_2d/cylinder/channel_010/pout.txt,1.0,2538.3976,0.0,2538.3976,1.0,1.000347,199.0428713858425,laminar,0.0002751999999998716,True,open_cascade_step_translator_7.5,open_cascade_step_translator_7.3,open_cascade_step_translator_7.6,open_cascade_step_translator_7.4,307.4458932876587
channel_011,ok,/home/hantianl/Documents/PIDIF/2d_geometry_specs/cylinder/channel_011.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/cylinder/channel_011.step,/home/hantianl/Documents/PIDIF/runs_2d/cylinder/channel_011/channel_011.msh.h5,/home/hantianl/Documents/PIDIF/runs_2d/cylinder/channel_011/case2d.cas.h5,/home/hantianl/Documents/PIDIF/runs_2d/cylinder/channel_011/pin.txt,/home/hantianl/Documents/PIDIF/runs_2d/cylinder/channel_011/pout.txt,1.0,2512.4919,0.0,2512.4919,1.0,1.0003404,199.0428713858425,laminar,0.000260500000000063,True,open_cascade_step_translator_7.5,open_cascade_step_translator_7.3,open_cascade_step_translator_7.2,open_cascade_step_translator_7.6,310.4768421649933
channel_012,ok,/home/hantianl/Documents/PIDIF/2d_geometry_specs/cylinder/channel_012.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/cylinder/channel_012.step,/home/hantianl/Documents/PIDIF/runs_2d/cylinder/channel_012/channel_012.msh.h5,/home/hantianl/Documents/PIDIF/runs_2d/cylinder/channel_012/case2d.cas.h5,/home/hantianl/Documents/PIDIF/runs_2d/cylinder/channel_012/pin.txt,/home/hantianl/Documents/PIDIF/runs_2d/cylinder/channel_012/pout.txt,1.0,2374.7109,0.0,2374.7109,1.0,1.0003925,199.0428713858425,laminar,0.0003175999999999917,True,open_cascade_step_translator_7.5,open_cascade_step_translator_7.3,open_cascade_step_translator_7.2,open_cascade_step_translator_7.6,312.7455325126648
channel_013,ok,/home/hantianl/Documents/PIDIF/2d_geometry_specs/cylinder/channel_013.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/cylinder/channel_013.step,/home/hantianl/Documents/PIDIF/runs_2d/cylinder/channel_013/channel_013.msh.h5,/home/hantianl/Documents/PIDIF/runs_2d/cylinder/channel_013/case2d.cas.h5,/home/hantianl/Documents/PIDIF/runs_2d/cylinder/channel_013/pin.txt,/home/hantianl/Documents/PIDIF/runs_2d/cylinder/channel_013/pout.txt,1.0,2480.9246,0.0,2480.9246,1.0,1.0003272,199.0428713858425,laminar,0.00024350000000009347,True,open_cascade_step_translator_7.5,open_cascade_step_translator_7.3,open_cascade_step_translator_7.2,open_cascade_step_translator_7.6,308.23266530036926
channel_014,ok,/home/hantianl/Documents/PIDIF/2d_geometry_specs/cylinder/channel_014.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/cylinder/channel_014.step,/home/hantianl/Documents/PIDIF/runs_2d/cylinder/channel_014/channel_014.msh.h5,/home/hantianl/Documents/PIDIF/runs_2d/cylinder/channel_014/case2d.cas.h5,/home/hantianl/Documents/PIDIF/runs_2d/cylinder/channel_014/pin.txt,/home/hantianl/Documents/PIDIF/runs_2d/cylinder/channel_014/pout.txt,1.0,2451.1325,0.0,2451.1325,1.0,1.000444,199.0428713858425,laminar,0.00034179999999992276,True,open_cascade_step_translator_7.5,open_cascade_step_translator_7.3,open_cascade_step_translator_7.6,open_cascade_step_translator_7.4,312.03379917144775
channel_015,ok,/home/hantianl/Documents/PIDIF/2d_geometry_specs/cylinder/channel_015.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/cylinder/channel_015.step,/home/hantianl/Documents/PIDIF/runs_2d/cylinder/channel_015/channel_015.msh.h5,/home/hantianl/Documents/PIDIF/runs_2d/cylinder/channel_015/case2d.cas.h5,/home/hantianl/Documents/PIDIF/runs_2d/cylinder/channel_015/pin.txt,/home/hantianl/Documents/PIDIF/runs_2d/cylinder/channel_015/pout.txt,1.0,2388.7795,0.0,2388.7795,1.0,1.0004327,199.0428713858425,laminar,0.0003393000000000189,True,open_cascade_step_translator_7.5,open_cascade_step_translator_7.3,open_cascade_step_translator_7.2,open_cascade_step_translator_7.6,313.3243839740753
channel_016,ok,/home/hantianl/Documents/PIDIF/2d_geometry_specs/cylinder/channel_016.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/cylinder/channel_016.step,/home/hantianl/Documents/PIDIF/runs_2d/cylinder/channel_016/channel_016.msh.h5,/home/hantianl/Documents/PIDIF/runs_2d/cylinder/channel_016/case2d.cas.h5,/home/hantianl/Documents/PIDIF/runs_2d/cylinder/channel_016/pin.txt,/home/hantianl/Documents/PIDIF/runs_2d/cylinder/channel_016/pout.txt,1.0,2457.8103,0.0,2457.8103,1.0,1.0003838,199.0428713858425,laminar,0.0003067999999999138,True,open_cascade_step_translator_7.5,open_cascade_step_translator_7.3,open_cascade_step_translator_7.2,open_cascade_step_translator_7.6,314.1709005832672
channel_017,ok,/home/hantianl/Documents/PIDIF/2d_geometry_specs/cylinder/channel_017.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/cylinder/channel_017.step,/home/hantianl/Documents/PIDIF/runs_2d/cylinder/channel_017/channel_017.msh.h5,/home/hantianl/Documents/PIDIF/runs_2d/cylinder/channel_017/case2d.cas.h5,/home/hantianl/Documents/PIDIF/runs_2d/cylinder/channel_017/pin.txt,/home/hantianl/Documents/PIDIF/runs_2d/cylinder/channel_017/pout.txt,1.0,2475.2327,0.0,2475.2327,1.0,1.0004336,199.0428713858425,laminar,0.00034069999999998134,True,open_cascade_step_translator_7.5,open_cascade_step_translator_7.3,open_cascade_step_translator_7.6,open_cascade_step_translator_7.4,312.18316626548767
channel_018,ok,/home/hantianl/Documents/PIDIF/2d_geometry_specs/cylinder/channel_018.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/cylinder/channel_018.step,/home/hantianl/Documents/PIDIF/runs_2d/cylinder/channel_018/channel_018.msh.h5,/home/hantianl/Documents/PIDIF/runs_2d/cylinder/channel_018/case2d.cas.h5,/home/hantianl/Documents/PIDIF/runs_2d/cylinder/channel_018/pin.txt,/home/hantianl/Documents/PIDIF/runs_2d/cylinder/channel_018/pout.txt,1.0,2383.7139,0.0,2383.7139,1.0,1.0004202,199.0428713858425,laminar,0.00032360000000000483,True,open_cascade_step_translator_7.5,open_cascade_step_translator_7.3,open_cascade_step_translator_7.6,open_cascade_step_translator_7.4,311.9303331375122
channel_019,ok,/home/hantianl/Documents/PIDIF/2d_geometry_specs/cylinder/channel_019.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/cylinder/channel_019.step,/home/hantianl/Documents/PIDIF/runs_2d/cylinder/channel_019/channel_019.msh.h5,/home/hantianl/Documents/PIDIF/runs_2d/cylinder/channel_019/case2d.cas.h5,/home/hantianl/Documents/PIDIF/runs_2d/cylinder/channel_019/pin.txt,/home/hantianl/Documents/PIDIF/runs_2d/cylinder/channel_019/pout.txt,1.0,2526.7658,0.0,2526.7658,1.0,1.0003341,199.0428713858425,laminar,0.00027079999999997037,True,open_cascade_step_translator_7.5,open_cascade_step_translator_7.3,open_cascade_step_translator_7.2,open_cascade_step_translator_7.6,308.1657438278198
