epoch,train_loss,val_loss,elapsed_sec,lr,phase
1,0.1693346481770277,0.1715899807214737,6.8461503982543945,nan,previous_baseline
2,0.16726991057395935,0.16618616610765458,6.787498950958252,nan,previous_baseline
3,0.16480438847094775,0.16393604189157485,6.675147771835327,nan,previous_baseline
4,0.16329733800143004,0.1619237694144249,6.673093557357788,nan,previous_baseline
5,0.16243481770157814,0.16058723300695418,6.870030403137207,nan,previous_baseline
6,0.16045646138489247,0.16407022446393968,6.8073155879974365,nan,previous_baseline
7,0.15862288732081653,0.1615597900748253,6.809701681137085,nan,previous_baseline
8,0.15900329776108266,0.1569362236559391,6.757313251495361,nan,previous_baseline
9,0.15718598265200853,0.15663337841629982,6.765645265579224,nan,previous_baseline
10,0.15571827912703157,0.1569695493578911,6.752998113632202,nan,previous_baseline
11,0.15569747086614372,0.15529492780566215,6.6198952198028564,nan,previous_baseline
12,0.15112745445221662,0.14836541011929513,6.67621922492981,nan,previous_baseline
13,0.12644157173112036,0.11134071707725525,6.912158012390137,nan,previous_baseline
14,0.1047451507113874,0.099807123914361,6.7582175731658936,nan,previous_baseline
15,0.10028548464179039,0.09602830462157726,6.8289124965667725,nan,previous_baseline
16,0.09589371266774833,0.09469758719205856,6.740087985992432,nan,previous_baseline
17,0.09428719117306172,0.0909678302705288,6.779604434967041,nan,previous_baseline
18,0.09103669235482811,0.08944646723568439,6.740655899047852,nan,previous_baseline
19,0.08908006914891303,0.08687855951488017,6.810807228088379,nan,previous_baseline
20,0.08759317092597485,0.08782088667154313,6.710207223892212,nan,previous_baseline
21,0.08632482072338461,0.08540318004786968,6.685865640640259,nan,previous_baseline
22,0.08432416867464781,0.08563534542918205,6.789740562438965,nan,previous_baseline
23,0.08196790715679526,0.07979223892092704,6.854984760284424,nan,previous_baseline
24,0.07920095583423972,0.08287021987140179,6.863725423812866,nan,previous_baseline
25,0.07861146504059434,0.07573897741734982,6.755097389221191,nan,previous_baseline
26,0.07560295441187918,0.07866541691124439,6.804582834243774,nan,previous_baseline
27,0.0706656945310533,0.06889211565256119,6.7459940910339355,nan,previous_baseline
28,0.0694444144051522,0.07744237758219243,6.756520509719849,nan,previous_baseline
29,0.0665671121608466,0.07071441046893596,6.6837122440338135,nan,previous_baseline
30,0.06600137257017195,0.06416408844292164,6.6973557472229,nan,previous_baseline
31,0.06504620980005711,0.06449193365871907,6.750643968582153,nan,previous_baseline
32,0.06242029664106667,0.07381269659847021,6.787482976913452,nan,previous_baseline
33,0.06165406810119748,0.06056507714092731,6.741985321044922,nan,previous_baseline
34,0.06129376396536827,0.058262494653463365,6.588734865188599,nan,previous_baseline
35,0.060366165339946744,0.058648820146918294,6.677218914031982,nan,previous_baseline
36,0.05907439869828522,0.06635632567107677,6.716341495513916,nan,previous_baseline
37,0.05825659709982574,0.056590743586421015,6.727946996688843,nan,previous_baseline
38,0.05806012045126408,0.05676681701093912,6.685392141342163,nan,previous_baseline
39,0.05707174551207572,0.0563146959990263,6.772278785705566,nan,previous_baseline
40,0.05640310756396502,0.05724818248301745,7.369763374328613,nan,previous_baseline
41,0.05565464748069644,0.05919919140636921,7.08075737953186,nan,previous_baseline
42,0.05639357117470354,0.07065568409860135,7.2044453620910645,nan,previous_baseline
43,0.05367721265181899,0.053329811468720435,6.734569311141968,nan,previous_baseline
44,0.05311516895890236,0.056597960740327836,6.575443983078003,nan,previous_baseline
45,0.05121386845596135,0.049664299562573434,6.845595359802246,nan,previous_baseline
46,0.05073084396775812,0.04880840513855219,6.734386682510376,nan,previous_baseline
47,0.052226747740060094,0.05388830211013555,6.806022644042969,nan,previous_baseline
48,0.05116373954340816,0.04848758395761252,6.85541033744812,nan,previous_baseline
49,0.04902477826457471,0.046450601704418656,6.6986424922943115,nan,previous_baseline
50,0.04503715257160366,0.04371426396071911,6.922156810760498,9.999644698917173e-05,baseline_long
51,0.043401920045726,0.04821407336741686,6.746212005615234,9.99857885177485e-05,baseline_long
52,0.042648669411428274,0.04472328271716833,7.099463939666748,9.996802626882653e-05,baseline_long
53,0.04232374074403197,0.04534627113491297,6.748529434204102,9.99431630472708e-05,baseline_long
54,0.042056538937613366,0.04297397345304489,6.857298374176025,9.991120277927223e-05,baseline_long
55,0.0414331473549828,0.04140906125307083,6.890356063842773,9.987215051172763e-05,baseline_long
56,0.04103190063033253,0.04260513421148062,6.836447715759277,9.982601241144277e-05,baseline_long
57,0.04098490111064166,0.039313664548099043,6.903338193893433,9.977279576415851e-05,baseline_long
58,0.040138724804855884,0.03943763393908739,6.870952606201172,9.971250897340038e-05,baseline_long
59,0.040363781373016536,0.04076468605548143,7.02959680557251,9.964516155915151e-05,baseline_long
60,0.03975378821603954,0.0391699693351984,6.945626974105835,9.957076415634929e-05,baseline_long
61,0.03852518354076892,0.03898176096379757,6.846451997756958,9.948932851320612e-05,baseline_long
