case,status,spec_json,step_path,mesh_path,case_data_path,pin_txt,pout_txt,uin_mps,pin_pa,pout_pa,dp_pa,vin_mps,vout_mps,reynolds_number,flow_regime,mass_conservation_rel_error,physics_ok,inlet_name,outlet_name,wall_bottom_name,wall_top_name,elapsed_sec
channel_90,ok,/home/hantianl/Documents/PIDIF/2d_geometry_specs/rand_channel_small/channel_90.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/rand_channel_small/channel_90.step,/home/hantianl/Documents/PIDIF/runs_2d/rand_channel_small/channel_90/channel_90.msh.h5,/home/hantianl/Documents/PIDIF/runs_2d/rand_channel_small/channel_90/case2d.cas.h5,/home/hantianl/Documents/PIDIF/runs_2d/rand_channel_small/channel_90/pin.txt,/home/hantianl/Documents/PIDIF/runs_2d/rand_channel_small/channel_90/pout.txt,0.1,2.4593742,0.0,2.4593742,0.099999997,0.1031973,1.3994064705334026,laminar,0.00033029467065272397,True,open_cascade_step_translator_7.5,open_cascade_step_translator_7.3,open_cascade_step_translator_7.2,open_cascade_step_translator_7.4,476.8935270309448
channel_91,ok,/home/hantianl/Documents/PIDIF/2d_geometry_specs/rand_channel_small/channel_91.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/rand_channel_small/channel_91.step,/home/hantianl/Documents/PIDIF/runs_2d/rand_channel_small/channel_91/channel_91.msh.h5,/home/hantianl/Documents/PIDIF/runs_2d/rand_channel_small/channel_91/case2d.cas.h5,/home/hantianl/Documents/PIDIF/runs_2d/rand_channel_small/channel_91/pin.txt,/home/hantianl/Documents/PIDIF/runs_2d/rand_channel_small/channel_91/pout.txt,0.1,2.3227732,0.0,2.3227732,0.1,0.1037788,1.4411978626470365,laminar,1.0442659127096593e-05,True,open_cascade_step_translator_7.5,open_cascade_step_translator_7.3,open_cascade_step_translator_7.2,open_cascade_step_translator_7.4,489.8859632015228
channel_92,ok,/home/hantianl/Documents/PIDIF/2d_geometry_specs/rand_channel_small/channel_92.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/rand_channel_small/channel_92.step,/home/hantianl/Documents/PIDIF/runs_2d/rand_channel_small/channel_92/channel_92.msh.h5,/home/hantianl/Documents/PIDIF/runs_2d/rand_channel_small/channel_92/case2d.cas.h5,/home/hantianl/Documents/PIDIF/runs_2d/rand_channel_small/channel_92/pin.txt,/home/hantianl/Documents/PIDIF/runs_2d/rand_channel_small/channel_92/pout.txt,0.1,2.4075704,0.0,2.4075704,0.099999997,0.10272782,1.333298490858968,laminar,0.0003552108728010334,True,open_cascade_step_translator_7.5,open_cascade_step_translator_7.3,open_cascade_step_translator_7.2,open_cascade_step_translator_7.4,475.688844203949
channel_93,ok,/home/hantianl/Documents/PIDIF/2d_geometry_specs/rand_channel_small/channel_93.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/rand_channel_small/channel_93.step,/home/hantianl/Documents/PIDIF/runs_2d/rand_channel_small/channel_93/channel_93.msh.h5,/home/hantianl/Documents/PIDIF/runs_2d/rand_channel_small/channel_93/case2d.cas.h5,/home/hantianl/Documents/PIDIF/runs_2d/rand_channel_small/channel_93/pin.txt,/home/hantianl/Documents/PIDIF/runs_2d/rand_channel_small/channel_93/pout.txt,0.1,2.2601645,0.0,2.2601645,0.099999997,0.10783021,1.3624118026299172,laminar,0.0003315309060668711,True,open_cascade_step_translator_7.5,open_cascade_step_translator_7.3,open_cascade_step_translator_7.2,open_cascade_step_translator_7.4,496.04782032966614
channel_94,ok,/home/hantianl/Documents/PIDIF/2d_geometry_specs/rand_channel_small/channel_94.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/rand_channel_small/channel_94.step,/home/hantianl/Documents/PIDIF/runs_2d/rand_channel_small/channel_94/channel_94.msh.h5,/home/hantianl/Documents/PIDIF/runs_2d/rand_channel_small/channel_94/case2d.cas.h5,/home/hantianl/Documents/PIDIF/runs_2d/rand_channel_small/channel_94/pin.txt,/home/hantianl/Documents/PIDIF/runs_2d/rand_channel_small/channel_94/pout.txt,0.1,2.6674883,0.0,2.6674883,0.1,0.10264915,1.3751645540390856,laminar,0.00026416566590075616,True,open_cascade_step_translator_7.5,open_cascade_step_translator_7.3,open_cascade_step_translator_7.2,open_cascade_step_translator_7.4,479.01401948928833
channel_95,ok,/home/hantianl/Documents/PIDIF/2d_geometry_specs/rand_channel_small/channel_95.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/rand_channel_small/channel_95.step,/home/hantianl/Documents/PIDIF/runs_2d/rand_channel_small/channel_95/channel_95.msh.h5,/home/hantianl/Documents/PIDIF/runs_2d/rand_channel_small/channel_95/case2d.cas.h5,/home/hantianl/Documents/PIDIF/runs_2d/rand_channel_small/channel_95/pin.txt,/home/hantianl/Documents/PIDIF/runs_2d/rand_channel_small/channel_95/pout.txt,0.1,2.4780099,0.0,2.4780099,0.1,0.11015539,1.490319706547545,laminar,0.0003414833643476258,True,open_cascade_step_translator_7.5,open_cascade_step_translator_7.3,open_cascade_step_translator_7.2,open_cascade_step_translator_7.4,487.16801953315735
channel_96,ok,/home/hantianl/Documents/PIDIF/2d_geometry_specs/rand_channel_small/channel_96.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/rand_channel_small/channel_96.step,/home/hantianl/Documents/PIDIF/runs_2d/rand_channel_small/channel_96/channel_96.msh.h5,/home/hantianl/Documents/PIDIF/runs_2d/rand_channel_small/channel_96/case2d.cas.h5,/home/hantianl/Documents/PIDIF/runs_2d/rand_channel_small/channel_96/pin.txt,/home/hantianl/Documents/PIDIF/runs_2d/rand_channel_small/channel_96/pout.txt,0.1,2.463526,0.0,2.463526,0.1,0.090974373,1.3622944282290688,laminar,0.00016190284307409598,True,open_cascade_step_translator_7.5,open_cascade_step_translator_7.3,open_cascade_step_translator_7.2,open_cascade_step_translator_7.4,488.93373942375183
channel_97,ok,/home/hantianl/Documents/PIDIF/2d_geometry_specs/rand_channel_small/channel_97.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/rand_channel_small/channel_97.step,/home/hantianl/Documents/PIDIF/runs_2d/rand_channel_small/channel_97/channel_97.msh.h5,/home/hantianl/Documents/PIDIF/runs_2d/rand_channel_small/channel_97/case2d.cas.h5,/home/hantianl/Documents/PIDIF/runs_2d/rand_channel_small/channel_97/pin.txt,/home/hantianl/Documents/PIDIF/runs_2d/rand_channel_small/channel_97/pout.txt,0.1,2.5533186,0.0,2.5533186,0.1,0.092121825,1.3147906069033708,laminar,0.00038593046060835266,True,open_cascade_step_translator_7.5,open_cascade_step_translator_7.3,open_cascade_step_translator_7.2,open_cascade_step_translator_7.4,470.40440917015076
channel_98,ok,/home/hantianl/Documents/PIDIF/2d_geometry_specs/rand_channel_small/channel_98.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/rand_channel_small/channel_98.step,/home/hantianl/Documents/PIDIF/runs_2d/rand_channel_small/channel_98/channel_98.msh.h5,/home/hantianl/Documents/PIDIF/runs_2d/rand_channel_small/channel_98/case2d.cas.h5,/home/hantianl/Documents/PIDIF/runs_2d/rand_channel_small/channel_98/pin.txt,/home/hantianl/Documents/PIDIF/runs_2d/rand_channel_small/channel_98/pout.txt,0.1,2.0928064,0.0,2.0928064,0.099999996,0.09206467,1.2680609689234719,laminar,0.0004224886667430298,True,open_cascade_step_translator_7.5,open_cascade_step_translator_7.3,open_cascade_step_translator_7.2,open_cascade_step_translator_7.4,480.2368004322052
channel_99,ok,/home/hantianl/Documents/PIDIF/2d_geometry_specs/rand_channel_small/channel_99.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/rand_channel_small/channel_99.step,/home/hantianl/Documents/PIDIF/runs_2d/rand_channel_small/channel_99/channel_99.msh.h5,/home/hantianl/Documents/PIDIF/runs_2d/rand_channel_small/channel_99/case2d.cas.h5,/home/hantianl/Documents/PIDIF/runs_2d/rand_channel_small/channel_99/pin.txt,/home/hantianl/Documents/PIDIF/runs_2d/rand_channel_small/channel_99/pout.txt,0.1,2.6229241,0.0,2.6229241,0.099999999,0.087096736,1.308753679756393,laminar,0.00017062093939918622,True,open_cascade_step_translator_7.5,open_cascade_step_translator_7.3,open_cascade_step_translator_7.2,open_cascade_step_translator_7.4,469.08709621429443
