epoch,train_loss,val_loss,elapsed_sec
1,0.1693346481770277,0.1715899807214737,6.8461503982543945
2,0.16726991057395935,0.16618616610765458,6.787498950958252
3,0.16480438847094775,0.16393604189157485,6.675147771835327
4,0.16329733800143004,0.1619237694144249,6.673093557357788
5,0.16243481770157814,0.16058723300695418,6.870030403137207
6,0.16045646138489247,0.16407022446393968,6.8073155879974365
7,0.15862288732081653,0.1615597900748253,6.809701681137085
8,0.15900329776108266,0.1569362236559391,6.757313251495361
9,0.15718598265200853,0.15663337841629982,6.765645265579224
10,0.15571827912703157,0.1569695493578911,6.752998113632202
11,0.15569747086614372,0.15529492780566215,6.6198952198028564
12,0.15112745445221662,0.14836541011929513,6.67621922492981
13,0.12644157173112036,0.11134071707725525,6.912158012390137
14,0.1047451507113874,0.099807123914361,6.7582175731658936
15,0.10028548464179039,0.09602830462157726,6.8289124965667725
16,0.09589371266774833,0.09469758719205856,6.740087985992432
17,0.09428719117306172,0.0909678302705288,6.779604434967041
18,0.09103669235482811,0.08944646723568439,6.740655899047852
19,0.08908006914891303,0.08687855951488017,6.810807228088379
20,0.08759317092597485,0.08782088667154313,6.710207223892212
21,0.08632482072338461,0.08540318004786968,6.685865640640259
22,0.08432416867464781,0.08563534542918205,6.789740562438965
23,0.08196790715679526,0.07979223892092704,6.854984760284424
24,0.07920095583423972,0.08287021987140179,6.863725423812866
25,0.07861146504059434,0.07573897741734982,6.755097389221191
26,0.07560295441187918,0.07866541691124439,6.804582834243774
27,0.0706656945310533,0.06889211565256119,6.7459940910339355
28,0.0694444144051522,0.07744237758219243,6.756520509719849
29,0.0665671121608466,0.07071441046893596,6.6837122440338135
30,0.06600137257017195,0.06416408844292164,6.6973557472229
31,0.06504620980005711,0.06449193365871907,6.750643968582153
32,0.06242029664106667,0.07381269659847021,6.787482976913452
33,0.06165406810119748,0.06056507714092731,6.741985321044922
34,0.06129376396536827,0.058262494653463365,6.588734865188599
35,0.060366165339946744,0.058648820146918294,6.677218914031982
36,0.05907439869828522,0.06635632567107677,6.716341495513916
37,0.05825659709982574,0.056590743586421015,6.727946996688843
38,0.05806012045126408,0.05676681701093912,6.685392141342163
39,0.05707174551207572,0.0563146959990263,6.772278785705566
40,0.05640310756396502,0.05724818248301745,7.369763374328613
41,0.05565464748069644,0.05919919140636921,7.08075737953186
42,0.05639357117470354,0.07065568409860135,7.2044453620910645
43,0.05367721265181899,0.053329811468720435,6.734569311141968
44,0.05311516895890236,0.056597960740327836,6.575443983078003
45,0.05121386845596135,0.049664299562573434,6.845595359802246
46,0.05073084396775812,0.04880840513855219,6.734386682510376
47,0.052226747740060094,0.05388830211013555,6.806022644042969
48,0.05116373954340816,0.04848758395761252,6.85541033744812
49,0.04902477826457471,0.046450601704418656,6.6986424922943115
50,0.048564997883513567,0.05076720554381609,6.6795830726623535
51,0.048541308287531136,0.049608355835080144,6.741158723831177
52,0.047591462139971556,0.05286771647632122,6.794674396514893
53,0.04606683673337102,0.047610609978437426,6.694151878356934
54,0.046655157199129466,0.054565649181604385,6.837589979171753
55,0.045787782869301734,0.04974100187420845,6.78992486000061
