design_id,Wc,Hc,tw,Rf,py,Neff,sx,A,lam,win,wout,lh,N,AR,Rf_max,span
0,0.991592269577086,0.9646182784810662,1.0910980621352793,0.18242586590349674,2.425526265054941,6.469046104699373,0.7273978463839739,0.24770131018012762,10.561336903367192,4.756509970873594,0.7300584022887051,10.273744814097881,6.0,0.9727972959011427,0.495796134788543,31.65157645413804
1,0.7424130225554109,0.9300553482025862,0.8541463716421277,0.133575296215713,1.9219980059191584,10.097211934626102,0.6430573099292815,0.14053520886227489,7.516084401868284,4.870370334479958,4.945090500172228,5.491391383111477,10.0,1.2527465439672705,0.37120651127770543,25.19790434648714
2,0.39948698272928596,0.7085216892883182,0.44526519952341914,0.1467949915677309,1.6873681840486827,6.5551618617028,0.6281352801714092,0.024483041279017924,4.865711470134556,0.8964576497673988,4.5124208074994385,12.185600706376135,7.0,1.773578914756406,0.19974349136464298,27.381121343230646
3,0.9296318615321071,0.4603360442444683,0.49446158129721884,0.22527621872723103,2.1237557528540494,8.214696714654565,0.6251111146993935,0.09045763313770294,4.128412372432649,1.2954493290744722,2.9205175447277725,13.843471094965935,8.0,0.49518101013211613,0.24723079064860942,27.994996868252045
4,0.6509994506835938,0.25374715523794295,0.5886184996459634,0.10302441027015448,1.4735052956268193,13.062946770340204,0.6508386907633393,0.0055285577662289144,9.452229098416865,4.213895705062896,4.164367449935526,13.579527993686497,13.0,0.38978090530105847,0.2943092498229817,26.43819802473373
5,0.47935027107596395,0.979082720912993,1.0282363047357648,0.13624280970543623,2.2312253790907564,8.818590827286243,0.8314449814613908,0.1542794220149517,11.706548953428864,1.6208096854388714,0.94571543764323,3.565507696941495,9.0,2.0425204281522875,0.23967513553798198,38.60687965822696
6,0.8131652084179223,0.6728889046236872,0.6280966293532402,0.10675860475748777,1.8865689573809505,8.907218338921666,0.9075508106965571,0.07982284426689147,3.7178453016094863,4.356941260397434,4.719735301099718,7.9243904976174235,9.0,0.8274934756897018,0.3140483146766201,36.23244455231412
7,0.41552257672883575,0.9586949752643704,0.6383461996447295,0.20030240807682276,1.647577712778002,9.567599019035697,0.6822520885616541,0.10001112408936023,3.9213566668331623,3.5432263645343482,3.010800838470459,11.317877327091992,10.0,2.3072030954650184,0.20776128836441787,28.958853591781125
8,0.6043736351653933,0.5434676945209503,0.7376599143259228,0.11428357437252999,2.399457780364901,7.654322046786547,0.6670502819120884,0.1307162127457559,6.284257676452398,2.622593366075307,4.92125622741878,3.346659895963967,8.0,0.8992246896610978,0.30218681758269667,27.653336815649705
9,0.9630296934396029,0.8229991705156863,0.8921550690662117,0.405512648448348,2.096576382685453,6.582049263641238,0.7900633213110267,0.11459189895540475,11.652832229156047,2.0497570419684052,4.8676865748129785,12.343713969923556,7.0,0.8545937639536566,0.44607753453310584,33.24788426538425
10,0.6154734884854406,0.7563088923692703,0.8397962441202254,0.21639459673315287,1.619326398614794,8.364428367465734,0.8674800902139395,0.12029201304540038,7.312595142517239,3.01221836078912,2.7890175455249846,8.860081663355231,8.0,1.2288244847562777,0.3077367442427203,37.47406777312133
11,0.9476821350865067,0.32205677349120376,0.5564164525363594,0.16668485794216395,2.1623916583135725,8.963842989876866,0.6804964774753898,0.014663888700306415,6.149477185681462,3.153023747727275,4.492876476608217,9.659994322806597,9.0,0.33983628219582895,0.2782082262681797,28.141319226505505
