case,status,spec_json,step_path,mesh_path,case_data_path,pin_txt,pout_txt,uin_mps,pin_pa,pout_pa,dp_pa,tin_txt,tout_txt,tin_k,tout_k,inlet_name,outlet_name,wall_bottom_name,wall_top_name,elapsed_sec
rect_ar11,ok,/home/hantianl/Documents/PIDIF/2d_geometry_specs/rect_ar11.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/rect_ar11.step,/home/hantianl/Documents/PIDIF/runs_2d/rect_ar11/rect_ar11.msh.h5,/home/hantianl/Documents/PIDIF/runs_2d/rect_ar11/case2d.cas.h5,/home/hantianl/Documents/PIDIF/runs_2d/rect_ar11/pin.txt,/home/hantianl/Documents/PIDIF/runs_2d/rect_ar11/pout.txt,0.1,0.0047557254,0.0,0.0047557254,/home/hantianl/Documents/PIDIF/runs_2d/rect_ar11/tin.txt,/home/hantianl/Documents/PIDIF/runs_2d/rect_ar11/tout.txt,272.99999,273.30908,open_cascade_step_translator_7.5,open_cascade_step_translator_7.3,open_cascade_step_translator_7.2,open_cascade_step_translator_7.4,779.9655277729034
rect_ar12,ok,/home/hantianl/Documents/PIDIF/2d_geometry_specs/rect_ar12.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/rect_ar12.step,/home/hantianl/Documents/PIDIF/runs_2d/rect_ar12/rect_ar12.msh.h5,/home/hantianl/Documents/PIDIF/runs_2d/rect_ar12/case2d.cas.h5,/home/hantianl/Documents/PIDIF/runs_2d/rect_ar12/pin.txt,/home/hantianl/Documents/PIDIF/runs_2d/rect_ar12/pout.txt,0.1,0.0049885235,0.0,0.0049885235,/home/hantianl/Documents/PIDIF/runs_2d/rect_ar12/tin.txt,/home/hantianl/Documents/PIDIF/runs_2d/rect_ar12/tout.txt,272.99999,273.32003,open_cascade_step_translator_7.5,open_cascade_step_translator_7.3,open_cascade_step_translator_7.2,open_cascade_step_translator_7.4,819.176698923111
rect_ar13,ok,/home/hantianl/Documents/PIDIF/2d_geometry_specs/rect_ar13.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/rect_ar13.step,/home/hantianl/Documents/PIDIF/runs_2d/rect_ar13/rect_ar13.msh.h5,/home/hantianl/Documents/PIDIF/runs_2d/rect_ar13/case2d.cas.h5,/home/hantianl/Documents/PIDIF/runs_2d/rect_ar13/pin.txt,/home/hantianl/Documents/PIDIF/runs_2d/rect_ar13/pout.txt,0.1,0.0052117004,0.0,0.0052117004,/home/hantianl/Documents/PIDIF/runs_2d/rect_ar13/tin.txt,/home/hantianl/Documents/PIDIF/runs_2d/rect_ar13/tout.txt,272.99999,273.33076,open_cascade_step_translator_7.5,open_cascade_step_translator_7.3,open_cascade_step_translator_7.2,open_cascade_step_translator_7.4,902.0955057144165
rect_ar14,ok,/home/hantianl/Documents/PIDIF/2d_geometry_specs/rect_ar14.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/rect_ar14.step,/home/hantianl/Documents/PIDIF/runs_2d/rect_ar14/rect_ar14.msh.h5,/home/hantianl/Documents/PIDIF/runs_2d/rect_ar14/case2d.cas.h5,/home/hantianl/Documents/PIDIF/runs_2d/rect_ar14/pin.txt,/home/hantianl/Documents/PIDIF/runs_2d/rect_ar14/pout.txt,0.1,0.0054271286,0.0,0.0054271286,/home/hantianl/Documents/PIDIF/runs_2d/rect_ar14/tin.txt,/home/hantianl/Documents/PIDIF/runs_2d/rect_ar14/tout.txt,272.99999,273.34076,open_cascade_step_translator_7.5,open_cascade_step_translator_7.3,open_cascade_step_translator_7.2,open_cascade_step_translator_7.4,956.1085393428802
rect_ar15,ok,/home/hantianl/Documents/PIDIF/2d_geometry_specs/rect_ar15.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/rect_ar15.step,/home/hantianl/Documents/PIDIF/runs_2d/rect_ar15/rect_ar15.msh.h5,/home/hantianl/Documents/PIDIF/runs_2d/rect_ar15/case2d.cas.h5,/home/hantianl/Documents/PIDIF/runs_2d/rect_ar15/pin.txt,/home/hantianl/Documents/PIDIF/runs_2d/rect_ar15/pout.txt,0.1,0.0056397335,0.0,0.0056397335,/home/hantianl/Documents/PIDIF/runs_2d/rect_ar15/tin.txt,/home/hantianl/Documents/PIDIF/runs_2d/rect_ar15/tout.txt,272.99999,273.35057,open_cascade_step_translator_7.5,open_cascade_step_translator_7.3,open_cascade_step_translator_7.2,open_cascade_step_translator_7.4,983.9602742195129
rect_ar16,ok,/home/hantianl/Documents/PIDIF/2d_geometry_specs/rect_ar16.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/rect_ar16.step,/home/hantianl/Documents/PIDIF/runs_2d/rect_ar16/rect_ar16.msh.h5,/home/hantianl/Documents/PIDIF/runs_2d/rect_ar16/case2d.cas.h5,/home/hantianl/Documents/PIDIF/runs_2d/rect_ar16/pin.txt,/home/hantianl/Documents/PIDIF/runs_2d/rect_ar16/pout.txt,0.1,0.0058479965,0.0,0.0058479965,/home/hantianl/Documents/PIDIF/runs_2d/rect_ar16/tin.txt,/home/hantianl/Documents/PIDIF/runs_2d/rect_ar16/tout.txt,272.99999,273.3596,open_cascade_step_translator_7.5,open_cascade_step_translator_7.3,open_cascade_step_translator_7.2,open_cascade_step_translator_7.4,1056.8820650577545
rect_ar17,ok,/home/hantianl/Documents/PIDIF/2d_geometry_specs/rect_ar17.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/rect_ar17.step,/home/hantianl/Documents/PIDIF/runs_2d/rect_ar17/rect_ar17.msh.h5,/home/hantianl/Documents/PIDIF/runs_2d/rect_ar17/case2d.cas.h5,/home/hantianl/Documents/PIDIF/runs_2d/rect_ar17/pin.txt,/home/hantianl/Documents/PIDIF/runs_2d/rect_ar17/pout.txt,0.1,0.0060460044,0.0,0.0060460044,/home/hantianl/Documents/PIDIF/runs_2d/rect_ar17/tin.txt,/home/hantianl/Documents/PIDIF/runs_2d/rect_ar17/tout.txt,272.99999,273.36874,open_cascade_step_translator_7.5,open_cascade_step_translator_7.3,open_cascade_step_translator_7.2,open_cascade_step_translator_7.4,1118.961308479309
rect_ar18,ok,/home/hantianl/Documents/PIDIF/2d_geometry_specs/rect_ar18.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/rect_ar18.step,/home/hantianl/Documents/PIDIF/runs_2d/rect_ar18/rect_ar18.msh.h5,/home/hantianl/Documents/PIDIF/runs_2d/rect_ar18/case2d.cas.h5,/home/hantianl/Documents/PIDIF/runs_2d/rect_ar18/pin.txt,/home/hantianl/Documents/PIDIF/runs_2d/rect_ar18/pout.txt,0.1,0.0062457508,0.0,0.0062457508,/home/hantianl/Documents/PIDIF/runs_2d/rect_ar18/tin.txt,/home/hantianl/Documents/PIDIF/runs_2d/rect_ar18/tout.txt,272.99999,273.37684,open_cascade_step_translator_7.5,open_cascade_step_translator_7.3,open_cascade_step_translator_7.2,open_cascade_step_translator_7.4,1157.9055769443512
rect_ar19,ok,/home/hantianl/Documents/PIDIF/2d_geometry_specs/rect_ar19.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/rect_ar19.step,/home/hantianl/Documents/PIDIF/runs_2d/rect_ar19/rect_ar19.msh.h5,/home/hantianl/Documents/PIDIF/runs_2d/rect_ar19/case2d.cas.h5,/home/hantianl/Documents/PIDIF/runs_2d/rect_ar19/pin.txt,/home/hantianl/Documents/PIDIF/runs_2d/rect_ar19/pout.txt,0.1,0.0064377405,0.0,0.0064377405,/home/hantianl/Documents/PIDIF/runs_2d/rect_ar19/tin.txt,/home/hantianl/Documents/PIDIF/runs_2d/rect_ar19/tout.txt,272.99999,273.38494,open_cascade_step_translator_7.5,open_cascade_step_translator_7.3,open_cascade_step_translator_7.2,open_cascade_step_translator_7.4,1245.5514073371887
rect_ar20,ok,/home/hantianl/Documents/PIDIF/2d_geometry_specs/rect_ar20.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/rect_ar20.step,/home/hantianl/Documents/PIDIF/runs_2d/rect_ar20/rect_ar20.msh.h5,/home/hantianl/Documents/PIDIF/runs_2d/rect_ar20/case2d.cas.h5,/home/hantianl/Documents/PIDIF/runs_2d/rect_ar20/pin.txt,/home/hantianl/Documents/PIDIF/runs_2d/rect_ar20/pout.txt,0.1,0.0066261945,0.0,0.0066261945,/home/hantianl/Documents/PIDIF/runs_2d/rect_ar20/tin.txt,/home/hantianl/Documents/PIDIF/runs_2d/rect_ar20/tout.txt,272.99999,273.39274,open_cascade_step_translator_7.5,open_cascade_step_translator_7.3,open_cascade_step_translator_7.2,open_cascade_step_translator_7.4,1213.6027920246124
