epoch,train_loss_masked,val_loss_nomask,val_loss_noisy,val_loss_maskboth,val_score,lr,mode_count_noisy_interface,mode_count_mask_both_interfaces,mode_count_mask_right_interface,mode_count_no_mask,mode_count_mask_left_interface
19,0.07108892393764109,0.03168409127742052,0.03188856672495603,0.14988574057817458,0.06720592870190739,4.843726303177e-05,240,312,325,395,328
20,0.07053224715869874,0.030494865402579306,0.030847416780889033,0.14809415087103844,0.06588041645660997,4.8270909152852005e-05,242,323,305,408,322
21,0.07122294801753014,0.029032906852662563,0.029489134177565574,0.1500636515021324,0.06547899844497442,4.809654104932038e-05,221,349,327,388,315
22,0.06925690204836428,0.029892955645918845,0.03074212223291397,0.1485130198299885,0.06573372487723828,4.7914235204788245e-05,228,330,316,387,339
23,0.06937556812539697,0.033109728768467905,0.033544010370969775,0.15075021743774414,0.06853215985000133,4.7724071584624275e-05,236,327,349,373,315
24,0.06706095790490509,0.027715142350643873,0.028316093906760216,0.15395974069833757,0.06576880732178689,4.7526133600877254e-05,206,344,296,438,316
25,0.06503110549878328,0.029421482384204865,0.03025447014719248,0.1493315464258194,0.0656443979255855,4.7320508075688754e-05,224,306,325,430,315
26,0.06590679564978927,0.02855373900383711,0.029865332953631876,0.14785154581069945,0.06473655923083424,4.710728520321012e-05,235,319,313,407,326
27,0.06736518155317754,0.028452229537069797,0.02895421616733074,0.15956866815686227,0.06793775711208583,4.6886558510040284e-05,236,325,340,372,327
28,0.0659561308613047,0.028238394521176814,0.029245346207171678,0.1529786418378353,0.06596255422197281,4.665842481420197e-05,228,325,310,397,340
29,0.06542543723713606,0.02818303059786558,0.02870633564889431,0.14637304469943047,0.06379702634364366,4.642298418267406e-05,246,327,272,404,351
30,0.06563772109337151,0.028931989036500454,0.029478422943502666,0.14886317342519761,0.06507527452521027,4.618033988749893e-05,228,327,342,371,332
31,0.06479390169959515,0.02996273707598448,0.030590416956692935,0.14810072928667067,0.06559243870340287,4.5930598360483905e-05,244,325,305,406,320
32,0.06487104145810008,0.02813414826989174,0.02841210037469864,0.15131233096122743,0.06517098870873451,4.5673869146516776e-05,258,332,341,340,329
33,0.06232921331655234,0.025901237074285745,0.027014703694730996,0.14862686306238174,0.06305296485684811,4.541026485551577e-05,228,300,329,412,331
34,0.06592868801672011,0.027958490047603847,0.02960256714373827,0.14783770799636842,0.06441547856107355,4.513990111303511e-05,205,321,353,391,330
35,0.060952023500576616,0.026600561682134868,0.02788173859938979,0.1477380572259426,0.06332616342045366,4.486289650954787e-05,260,298,330,393,319
36,0.06522861904464662,0.027815824933350088,0.028460208009928465,0.14680586591362954,0.06370615215040744,4.457937254842821e-05,251,351,311,362,325
37,0.06412822381127625,0.030263715889304876,0.03032301416620612,0.1499928817152977,0.0662002551201731,4.4289453592656046e-05,265,345,304,372,314
38,0.06309131063520908,0.026362672504037617,0.026682605557143687,0.14927945643663407,0.06333368759974836,4.399326681026729e-05,238,321,299,417,325
39,0.0632953863707371,0.02634945260360837,0.02695730632171035,0.14734061807394028,0.06282915836013853,4.369094211857375e-05,230,320,332,398,320
40,0.06295828543137759,0.025875611547380686,0.027180864680558442,0.14603943899273872,0.06231633572094142,4.338261212717714e-05,197,322,313,426,342
41,0.061356514776125554,0.024876857977360486,0.025794225744903088,0.14743195369839668,0.061918597023934124,4.3068412079802086e-05,250,315,307,419,309
42,0.06272139996755868,0.026648822128772735,0.027509445808827877,0.15157029584050177,0.06438345134630799,4.274847979497377e-05,227,318,337,380,338
43,0.059465908650308846,0.026365408804267645,0.027726975679397584,0.14519551873207093,0.062422911845147616,4.242295560556618e-05,255,293,311,417,324
44,0.06122695939382538,0.027432984113693236,0.028032925724983216,0.1493349090218544,0.06418354406952857,4.209198229724748e-05,237,316,300,408,339
45,0.06322429635096341,0.02589561518281698,0.026951299011707307,0.14779284760355949,0.06278149005770683,4.175570504584944e-05,238,333,321,386,322
46,0.05726105235982686,0.025080654844641684,0.025879800990223883,0.14918339267373085,0.0625512200370431,4.141427135368862e-05,230,283,304,457,326
47,0.060273363646119835,0.02473567433655262,0.026231978759169577,0.14610548660159112,0.061595509342849256,4.106783098486686e-05,249,312,332,420,287
48,0.06164470901712775,0.025890651736408473,0.026461332477629183,0.14607886984944343,0.062118321392685166,4.071653589957991e-05,230,311,326,405,328
49,0.05922200295142829,0.02434451976791024,0.025509437453001736,0.14750080093741416,0.061640879424288864,4.0360540187462584e-05,230,299,338,424,309
50,0.06015888137742877,0.025610982440412045,0.0263969480805099,0.14707761615514756,0.062286762246862054,3.999999999999998e-05,226,321,306,428,319
51,0.06239112921990454,0.025669271405786277,0.026747615803033115,0.1445864401757717,0.06166792535595596,3.963507348203429e-05,218,339,324,403,316
52,0.06106936135096475,0.026251315753906965,0.026671677101403474,0.14546365961432456,0.06214112731628119,3.926592070239722e-05,262,323,296,387,332
53,0.058674738691188395,0.024495608750730754,0.024895599838346244,0.14415357291698455,0.060512995326891535,3.889270358369853e-05,276,304,300,382,338
54,0.06341699947603047,0.026531124375760554,0.027861390057951213,0.14650991752743722,0.06292384202592075,3.851558583130144e-05,242,344,307,415,292
55,0.06175353829981759,0.023539242222905158,0.02439007515087724,0.1463770416378975,0.06064583192579448,3.813473286151599e-05,243,339,302,393,323
56,0.060512813571840525,0.027450233604758977,0.02794549461454153,0.14344626739621164,0.06239762204512954,3.775031172904205e-05,220,319,329,402,330
57,0.05808358492096886,0.02443677106872201,0.025423457343131305,0.14591669350862502,0.0611767536830157,3.7362491053693556e-05,243,313,329,395,320
58,0.059545986563898624,0.02327100230380893,0.024477406032383443,0.1440385177731514,0.05986317806318403,3.69714409464363e-05,270,324,288,399,319
59,0.06214916876051575,0.024451056402176617,0.02489604925736785,0.1451120701432228,0.06078285838104784,3.657733293477166e-05,250,344,313,384,309
60,0.05944525922182947,0.026293186973780393,0.02761755408719182,0.14548464387655258,0.06244793417863547,3.6180339887498953e-05,215,297,325,405,358
61,0.05776740669505671,0.023575119096785783,0.024468648452311753,0.1478338871896267,0.06112080833129585,3.578063593888944e-05,250,314,314,428,294
62,0.058822199304122476,0.024521398078650235,0.025182221941649915,0.14600591138005256,0.061164999227970834,3.537839641230532e-05,222,304,342,398,334
63,0.05972073168726638,0.024056520443409682,0.02513483228161931,0.14565469428896904,0.060859466148540375,3.49737977432971e-05,236,301,347,397,319
64,0.060604811143130065,0.024131146930158137,0.02473444702103734,0.1485261933505535,0.06163065088354051,3.4567017402213123e-05,237,326,328,398,311
65,0.060476713133975867,0.02417155323550105,0.02481911042705178,0.14554136171936988,0.06077676293812692,3.41582338163552e-05,236,336,323,409,296
66,0.06054575781337917,0.023035086560994386,0.02379000438377261,0.14405985414981842,0.05956899218447506,3.374762629171451e-05,242,344,331,389,294
67,0.06313736938871443,0.02397287607192993,0.024734093509614467,0.1441087618470192,0.060242007035762074,3.333537493432206e-05,227,375,322,398,278
68,0.05950481286039576,0.022990890387445687,0.02398331366479397,0.14544896841049193,0.060026040777564044,3.292166057124825e-05,253,333,313,372,329
69,0.05722585820825771,0.02482496654614806,0.02599136088043451,0.14865235954523087,0.06232310274615884,3.2506664671286106e-05,248,291,345,389,327
70,0.05839423759607598,0.023136482778936623,0.023898731637746095,0.1492728790640831,0.06120607632212341,3.20905692653531e-05,229,297,318,420,336
71,0.059405075141694394,0.02392967538908124,0.02496843570843339,0.14360372439026833,0.06014351818524301,3.1673556866646335e-05,241,320,311,403,325
72,0.057396363210864366,0.026338887624442576,0.027202880345284938,0.14442468628287317,0.062023825038224456,3.125581039058629e-05,222,324,341,409,304
73,0.0622036309260875,0.02321066554635763,0.023782348185777666,0.14594707876443863,0.06020309430360794,3.083751307458402e-05,239,367,303,360,331
74,0.05704563538078219,0.02438347090035677,0.025717119555920362,0.14611764550209044,0.06130381787754595,3.0418848397667168e-05,237,308,318,410,327
75,0.0599617773341015,0.02473135182633996,0.02529146824032068,0.14554070681333542,0.06114219324663281,3.000000000000003e-05,204,322,327,393,354
76,0.05692210400477052,0.023540737219154836,0.024187851399183273,0.14479017227888108,0.06010970199108124,2.95811516023329e-05,245,306,311,408,330
77,0.05892663701670244,0.022614538297057153,0.023375183530151843,0.1437768241763115,0.059191417630761856,2.916248692541604e-05,247,327,315,379,332
78,0.05745537303155288,0.022553798221051694,0.02370473923161626,0.1461053219437599,0.05996453764103353,2.874418960941377e-05,221,304,336,408,331
79,0.05717207030626014,0.022042411472648384,0.023017936535179615,0.1452631723880768,0.05930129726603628,2.832644313335372e-05,235,295,339,405,326
80,0.05811926329508424,0.02354022715240717,0.02416164133697748,0.14440942838788032,0.05998741177842021,2.7909430734646965e-05,217,332,332,398,321
81,0.058533181985840205,0.023271885886788368,0.023790449630469085,0.14793714314699172,0.060827032187953586,2.749333532871395e-05,231,326,327,386,330
82,0.05819860953837633,0.02307283179834485,0.023858900740742685,0.14559945061802865,0.060066638126969336,2.707833942875181e-05,228,330,317,391,334
83,0.060412630618084225,0.022689486630260946,0.023386888094246387,0.14586670979857444,0.059851874019950624,2.666462506567799e-05,234,339,327,398,302
84,0.058286110067274424,0.02881811510771513,0.02918715961277485,0.14424565836787223,0.06355709143728018,2.6252373708285548e-05,257,326,333,392,292
85,0.058191490622702985,0.02240670582279563,0.023402867801487447,0.1440992133319378,0.059213306669145815,2.5841766183644855e-05,241,318,326,388,327
86,0.057451453956309705,0.022014204561710358,0.02226243283599615,0.1426040355861187,0.0582656223513186,2.5432982597786932e-05,287,309,304,381,319
87,0.056322332844138144,0.022862441204488278,0.023921045679599046,0.14404465407133102,0.05953468640707433,2.5026202256702953e-05,232,291,350,404,323
88,0.060860071608331054,0.021818533707410097,0.02272294731810689,0.1445885844528675,0.05892087301425636,2.462160358769474e-05,222,363,306,381,328
89,0.05631535548716784,0.022319077607244255,0.023513226862996818,0.14685573130846025,0.060038318494334816,2.421936406111061e-05,227,304,322,413,334
90,0.05632635622285306,0.022599194161593915,0.02311817843466997,0.14456627354025842,0.05934501325711608,2.38196601125011e-05,242,299,345,419,295
91,0.056829494093544784,0.02338777419179678,0.02414599284529686,0.14404466569423677,0.059812307238578805,2.342266706522838e-05,243,309,344,398,306
92,0.05670441226568073,0.022250117808580397,0.023488796651363372,0.14383571356534958,0.059097400188446045,2.302855905356374e-05,230,325,290,424,331
93,0.053228336498141286,0.022749928664416073,0.023762057013809682,0.14624255418777465,0.060101354826241724,2.2637508946306486e-05,266,300,303,416,315
94,0.05666266020387411,0.021924497112631797,0.022828877624124288,0.1418500502407551,0.05817347720451653,2.2249688270957978e-05,248,303,340,396,313
95,0.05680024738656357,0.02169318951666355,0.022555105220526457,0.1435631960630417,0.05851276619173586,2.186526713848403e-05,237,318,302,404,339
96,0.05668046559439972,0.02172650845721364,0.023004240915179254,0.14325134322047234,0.05856727862358093,2.1484414168698584e-05,246,314,305,399,336
97,0.05611818678211421,0.021593616902828218,0.022497765701264143,0.14299692273139952,0.05828585329093038,2.110729641630149e-05,242,298,319,407,334
98,0.0558027191599831,0.024296742621809243,0.025117594432085753,0.1452014571428299,0.06081441252119839,2.0734079297602805e-05,230,315,297,428,330
99,0.05654046536190435,0.02365065796300769,0.025159061774611472,0.14205460801720618,0.059624364122748366,2.0364926517965726e-05,238,329,314,405,314
100,0.05700950967613608,0.02217600606381893,0.022995368167757987,0.14150053143501282,0.05821917230635881,2.000000000000003e-05,216,315,331,394,344
101,0.056237238503526896,0.022010033335536718,0.02327125521376729,0.14276625216007233,0.05861526554636657,1.963945981253743e-05,254,315,301,408,322
102,0.05617863425752148,0.021671231910586355,0.02282481774687767,0.14441319018602372,0.05883989514410495,1.92834641004201e-05,239,325,302,377,357
103,0.05456466625677422,0.021179860960692166,0.022424135897308586,0.1436724403500557,0.05830091725848615,1.8932169015133148e-05,237,315,307,433,308
104,0.056216796406079086,0.02098783729597926,0.02201221067458391,0.14646223843097686,0.058937469650059936,1.8585728646311394e-05,236,324,331,396,313
105,0.05624228132190183,0.021995257064700128,0.023096970804035662,0.14201930329203605,0.05833298505470156,1.8244294954150564e-05,238,299,342,416,305
106,0.055078819568734616,0.021008085403591396,0.021949146948754786,0.14290626019239425,0.057859856303781265,1.7908017702752528e-05,257,313,308,388,334
107,0.055092460266314446,0.021831961032003164,0.0226059384457767,0.14336148917675018,0.058523012699559326,1.757704439443382e-05,238,303,352,400,307
108,0.05533422160428017,0.0213794906437397,0.022495651468634605,0.1428588166832924,0.05815813670307398,1.725152020502623e-05,237,311,321,398,333
109,0.05633497217670083,0.021184536535292862,0.022110848892480134,0.14289409354329108,0.057975297344848506,1.6931587920197922e-05,237,331,301,401,330
110,0.05501609500264749,0.021802053842693566,0.02309503613039851,0.14336687445640564,0.05865939471311867,1.661738787282286e-05,245,323,307,404,321
111,0.056451537860557434,0.021120946556329727,0.02191480526700616,0.14404092267155647,0.05823509700410068,1.630905788142625e-05,230,310,343,406,311
112,0.05669015093008056,0.021029420625418425,0.022006324008107186,0.14280439138412476,0.057854982867836954,1.6006733189732714e-05,216,331,325,397,331
113,0.05551672768313438,0.023327598348259926,0.023728745114058255,0.1423888798058033,0.05916632681526244,1.5710546407343962e-05,236,323,326,416,299
114,0.05675313804764301,0.021136093679815532,0.022152836006134748,0.14279218301177024,0.05793794317729771,1.5420627451571797e-05,231,319,322,417,311
115,0.054747234561946245,0.020968986786901952,0.021946174278855323,0.14496130645275115,0.058459838934242725,1.5137103490452137e-05,247,306,301,389,357
116,0.054435235164128244,0.02130320142954588,0.022157122064381838,0.1428137831389904,0.05801255213283003,1.4860098886964897e-05,240,304,330,401,325
117,0.055098845560569314,0.021263202112168075,0.02231710685417056,0.14489623859524728,0.05866928447969258,1.458973514448424e-05,221,317,330,417,315
118,0.05475736063206568,0.020977001897990705,0.02220931151881814,0.1454157018661499,0.0586783047746867,1.4326130853483227e-05,212,295,343,393,357
119,0.05510530943283811,0.021089530251920223,0.02221670523285866,0.14333071514964105,0.058100038215518,1.4069401639516096e-05,235,332,314,414,305
120,0.05783944986993447,0.020838115382939577,0.021740867905318737,0.14315608859062195,0.05780433310195804,1.3819660112501073e-05,251,337,310,395,307
121,0.05657858101418242,0.021464624851942064,0.022498779464513063,0.14342323586344718,0.0583624545391649,1.3577015817325936e-05,234,322,318,397,329
122,0.05433749076211825,0.021548261921852826,0.022712355088442562,0.14375563398003577,0.058559701489284625,1.3341575185798028e-05,247,294,347,412,300
123,0.05539790053386241,0.020767079535871744,0.021624116264283656,0.14330081015825272,0.05778430974110961,1.3113441489959714e-05,249,323,311,428,289
124,0.05420598087599501,0.02107888922095299,0.021812701895833016,0.14417220577597617,0.05822702798992395,1.2892714796789883e-05,247,293,345,381,334
125,0.05699994277441874,0.02086715292185545,0.0216761976480484,0.1436121293902397,0.05793335928022861,1.2679491924311244e-05,249,346,304,364,337
126,0.05645824702223763,0.020622217673808337,0.021851500384509562,0.14289427414536476,0.05767261942848563,1.2473866399122741e-05,240,349,301,404,306
127,0.055265888108406214,0.020953181367367506,0.021820001509040593,0.14309891939163208,0.057856948817148805,1.2275928415375717e-05,260,327,299,421,293
128,0.05527937678620219,0.020819537341594696,0.02188537186011672,0.14169106215238572,0.05740074514038861,1.2085764795211756e-05,253,319,299,404,325
129,0.05586646531708538,0.020209942180663347,0.02193188151344657,0.1425067199766636,0.057415557319298385,1.1903458950679623e-05,217,312,348,406,317
130,0.05521856672829017,0.02071202713996172,0.02190202472731471,0.1445513427257538,0.05822082109190524,1.1729090847147993e-05,247,330,318,389,316
131,0.05423346367664635,0.020589931067079306,0.021459147818386554,0.14349581092596053,0.05772246005013585,1.1562736968229995e-05,242,314,316,396,332
132,0.05477246276801452,0.020257691964507104,0.02108161009848118,0.14259907409548758,0.057207282043993474,1.140447028223498e-05,236,310,317,401,336
133,0.054076702159363776,0.020309613440185784,0.021577774807810784,0.1440573364496231,0.057814378753304474,1.1254360210162177e-05,251,324,297,435,293
134,0.05789126412710175,0.02136421009898186,0.021604095976799728,0.14280728057026862,0.057869097003713246,1.1112472595250385e-05,213,324,368,368,327
135,0.05539007811807096,0.020433458629995585,0.021388086155056954,0.1438933101296425,0.05775780233740807,1.0978869674096934e-05,219,332,301,418,330
136,0.054142263794783506,0.02079291932284832,0.021827511824667453,0.1424349907040596,0.05759591848775744,1.085361004935866e-05,244,316,321,427,292
137,0.055194808817468584,0.020232063047587873,0.021399425379931926,0.14312923699617386,0.057451423931866884,1.0736748664046842e-05,229,317,327,407,320
138,0.05536392306443304,0.021091009583324195,0.022360899802297354,0.14168915688991546,0.05765142084099352,1.0628336777427383e-05,245,307,345,400,303
139,0.055653374018147586,0.020378498658537865,0.021491951402276756,0.14149043813347817,0.057046116324141624,1.0528421942536798e-05,222,341,325,422,290
140,0.0527696833293885,0.020577368810772895,0.02174787988886237,0.14415473848581314,0.058001733036711814,1.0437047985323892e-05,234,285,324,417,340
141,0.05619403494289145,0.02041182653978467,0.02147482141852379,0.1420114244520664,0.057210604377090926,1.0354254985426231e-05,263,324,297,368,348
142,0.05452547068707645,0.02030706049874425,0.021519386414438485,0.1430017152428627,0.05747915469668806,1.0280079258589903e-05,214,322,316,422,326
143,0.055269341357052325,0.020359263103455306,0.02141885383054614,0.1436233152449131,0.057656355964019884,1.0214553340740237e-05,236,316,334,402,312
144,0.05642901196843013,0.020567661896348,0.02169708563014865,0.14214732274413108,0.05738038727082312,1.0157705973710448e-05,236,331,322,396,315
145,0.053785749759990724,0.020406263563781977,0.021652723457664252,0.14140556424856185,0.05707999173738062,1.0109562092634537e-05,252,293,328,399,328
146,0.0574859903100878,0.020550016462802887,0.021551241762936116,0.14157674431800843,0.05715840240940452,1.0070142815009915e-05,232,338,310,392,328
147,0.05391360990935937,0.02080155411735177,0.02178988168016076,0.1438296017050743,0.058006466662511226,1.003946543143457e-05,243,313,317,425,302
148,0.0527498329943046,0.020726103223860263,0.021523788273334503,0.14300151959061622,0.05764803364872932,1.0017543398022833e-05,257,289,326,397,331
149,0.05519616870675236,0.0202334819547832,0.02146571833640337,0.14317662000656128,0.05748609428480267,1.0004386330503091e-05,256,335,302,388,319
150,0.05509122297167778,0.02079075053334236,0.021712242122739554,0.14485195860266686,0.058285560430958866,1e-05,253,324,319,369,335
