2026-07-24 13:31:53 - transient_deeponet - INFO - Training comment
2026-07-24 13:31:53 - transient_deeponet - INFO - Cylinder transient data; complete 100-step trajectory per x-strip sample
2026-07-24 13:31:53 - transient_deeponet - INFO - Output directory: /home/hantianl/Documents/PIDIF/DeepONet/results/transient_072426_1
2026-07-24 14:27:18 - transient_deeponet - INFO - Epoch 0230 | data loss=2.538e-02 | bc loss=0.000e+00 | valid MSE=1.109e+03 | valid rel L2=1.473e-01 | pressure=4.669e-02, u=4.041e-02, v=2.093e-01 | Time: 0:55:17.276658
2026-07-24 14:29:51 - transient_deeponet - INFO - Epoch 0240 | data loss=4.005e-02 | bc loss=0.000e+00 | valid MSE=1.197e+03 | valid rel L2=1.559e-01 | pressure=4.850e-02, u=5.789e-02, v=2.750e-01 | Time: 0:57:50.266142
2026-07-24 14:32:10 - transient_deeponet - INFO - Epoch 0250 | data loss=4.357e-02 | bc loss=0.000e+00 | valid MSE=3.203e+03 | valid rel L2=1.989e-01 | pressure=7.935e-02, u=5.916e-02, v=2.818e-01 | Time: 1:00:09.250750
2026-07-24 14:34:32 - transient_deeponet - INFO - Epoch 0260 | data loss=2.330e-02 | bc loss=0.000e+00 | valid MSE=1.066e+03 | valid rel L2=8.205e-02 | pressure=4.577e-02, u=3.841e-02, v=2.203e-01 | Time: 1:02:31.622212
2026-07-24 14:36:50 - transient_deeponet - INFO - Epoch 0270 | data loss=2.701e-02 | bc loss=0.000e+00 | valid MSE=7.254e+02 | valid rel L2=9.076e-02 | pressure=3.776e-02, u=3.645e-02, v=1.912e-01 | Time: 1:04:49.390065
2026-07-24 14:39:10 - transient_deeponet - INFO - Epoch 0280 | data loss=1.894e-02 | bc loss=0.000e+00 | valid MSE=6.004e+02 | valid rel L2=1.073e-01 | pressure=3.436e-02, u=3.445e-02, v=1.849e-01 | Time: 1:07:09.121245
2026-07-24 14:41:42 - transient_deeponet - INFO - Epoch 0290 | data loss=2.586e-02 | bc loss=0.000e+00 | valid MSE=8.590e+02 | valid rel L2=2.007e-01 | pressure=4.109e-02, u=4.388e-02, v=1.962e-01 | Time: 1:09:41.853477
2026-07-24 14:44:20 - transient_deeponet - INFO - Epoch 0300 | data loss=2.117e-02 | bc loss=0.000e+00 | valid MSE=1.867e+03 | valid rel L2=1.513e-01 | pressure=6.058e-02, u=4.141e-02, v=2.023e-01 | Time: 1:12:19.849462
2026-07-24 14:46:48 - transient_deeponet - INFO - Epoch 0310 | data loss=2.175e-02 | bc loss=0.000e+00 | valid MSE=7.906e+02 | valid rel L2=1.241e-01 | pressure=3.942e-02, u=4.043e-02, v=1.885e-01 | Time: 1:14:47.500973
2026-07-24 14:49:03 - transient_deeponet - INFO - Epoch 0320 | data loss=1.954e-02 | bc loss=0.000e+00 | valid MSE=6.507e+02 | valid rel L2=7.088e-02 | pressure=3.577e-02, u=3.772e-02, v=1.902e-01 | Time: 1:17:02.065610
