epoch,train_loss_masked,val_loss_nomask,lr,mode_count_mask_both_interfaces,mode_count_noisy_interface,mode_count_no_mask,mode_count_mask_left_interface,mode_count_mask_right_interface
1,0.14302325570955873,0.08136226743459701,9.992106913713087e-05,302,241,387,348,322
2,0.1110866486094892,0.07426845215260983,9.968458805257913e-05,319,236,432,317,296
3,0.1009379241336137,0.06564437620341777,9.929149002914756e-05,299,241,419,312,329
4,0.09793537587858736,0.060719060525298116,9.874332644514525e-05,332,251,398,324,295
5,0.09541245259344577,0.06688588537275791,9.804226065180615e-05,319,233,367,341,340
6,0.09242256093770265,0.06003681462258101,9.719105943553006e-05,308,250,380,327,335
7,0.08974271276965737,0.05837925225496292,9.61930820986408e-05,304,244,398,343,311
8,0.08985560698434711,0.0560385499894619,9.505226720175455e-05,334,207,400,323,336
9,0.08871442255564034,0.05341069582849741,9.377311702008061e-05,331,258,375,337,299
10,0.08761155458167195,0.052438416816294194,9.23606797749979e-05,326,234,396,322,322
11,0.08485074868425727,0.05369831413030624,9.082052971103158e-05,322,259,392,306,321
12,0.08527295192703604,0.05328987766057253,8.915874509685646e-05,322,234,358,331,355
13,0.08418978409841657,0.05082411579787731,8.738188423714756e-05,339,265,373,287,336
14,0.08325246930122375,0.0537113157659769,8.549695958994759e-05,303,241,412,316,328
15,0.08090933105442673,0.05079723671078682,8.351141009169894e-05,313,274,391,333,289
16,0.08129429196938873,0.0501256038621068,8.143307179915987e-05,305,237,418,303,337
17,0.08279455952346325,0.05076588075608015,7.927014696406862e-05,313,235,404,323,325
18,0.0806777547718957,0.05234165899455547,7.703117166260292e-05,298,224,421,315,342
19,0.08012733490206302,0.049976126551628114,7.472498210738714e-05,314,240,404,327,315
20,0.08004764905199409,0.04836861878633499,7.236067977499792e-05,319,239,410,294,338
21,0.07799963275901974,0.05016197837889194,6.994759548659421e-05,310,234,413,310,333
22,0.08034367469139397,0.04749105088412762,6.749525258342902e-05,330,250,388,322,310
23,0.0774717625323683,0.05129772171378136,6.501332934257221e-05,325,251,411,320,293
24,0.07814795294310897,0.04711522627621889,6.251162078117257e-05,319,249,390,298,344
25,0.07838793984148651,0.0495908910036087,6.0000000000000035e-05,323,224,406,316,331
26,0.07690723747946322,0.047983845546841625,5.74883792188275e-05,299,211,416,345,329
27,0.07614722000434995,0.046957637779414654,5.498667065742787e-05,305,239,404,338,314
28,0.07637286247685551,0.04637073528021574,5.2504747416571055e-05,319,263,374,344,300
29,0.07565624329261482,0.04785304296761751,5.0052404513405846e-05,303,235,416,318,328
30,0.07479747610166669,0.04890760850161314,4.763932022500215e-05,306,235,410,324,325
31,0.07571293727494777,0.04628356322646141,4.5275017892612924e-05,328,264,385,308,315
32,0.07651652328670025,0.04615619219839573,4.296882833739712e-05,334,216,378,325,347
33,0.073956183725968,0.04501553785055876,4.072985303593141e-05,312,266,387,313,322
34,0.07488464187830686,0.04474911492317915,3.8566928200840146e-05,318,251,397,336,298
35,0.07429472998715937,0.04584272257983685,3.64885899083011e-05,313,232,394,333,328
36,0.07273225368000567,0.044417270049452784,3.450304041005243e-05,319,234,422,323,302
37,0.07429907503537833,0.044525430686771866,3.261811576285247e-05,327,237,368,358,310
38,0.07406175283715129,0.04438821356743574,3.084125490314356e-05,338,233,403,312,314
39,0.07282630017027258,0.04406716339290142,2.9179470288968446e-05,319,247,417,291,326
40,0.074710313975811,0.04369510099291801,2.7639320225002118e-05,339,224,387,341,309
41,0.07422608971595764,0.04347559943795204,2.6226882979919415e-05,336,251,376,321,316
42,0.06915770258754492,0.04383822802454233,2.4947732798245465e-05,272,272,414,327,315
43,0.07153826768510044,0.044318656772375106,2.3806917901359232e-05,294,235,390,315,366
44,0.07268636979162693,0.04309214629232883,2.280894056446995e-05,309,254,390,329,318
45,0.07120383658446372,0.043302261047065256,2.195773934819386e-05,310,272,354,338,326
46,0.07167549225967378,0.043059714399278165,2.1256673554854762e-05,306,229,391,326,348
47,0.07085457395296543,0.043555154278874395,2.0708509970852452e-05,305,245,394,335,321
48,0.07123712399974465,0.04266306012868881,2.0315411947420892e-05,319,243,415,292,331
49,0.07280199596192688,0.043308658450841905,2.007893086286914e-05,322,236,389,343,310
50,0.07106627248693258,0.04286731611937285,2e-05,321,252,412,326,289
