iter,continuity,x-velocity,y-velocity
1,1.0,0.000372321869305843,4.596325944208992e-05
2,0.5270519929825841,0.0002194940085249748,2.100009616705648e-05
3,0.3647099498160187,0.0001321718927919242,1.069451119154269e-05
4,0.2482024980198124,8.559326093804255e-05,6.14236869548319e-06
5,0.1603990457614876,5.758172714613139e-05,3.91981055618492e-06
6,0.1116302623557466,3.966365339553894e-05,2.790932095202481e-06
7,0.09444014733637542,2.857319760131281e-05,2.160981480613556e-06
8,0.08181843791804704,2.141812417154145e-05,1.789840208632502e-06
9,0.06900396915031057,1.703612269534254e-05,1.553196386893237e-06
10,0.05632055343624748,1.421228079670644e-05,1.410481979753623e-06
11,0.04569470453180219,1.234763425223976e-05,1.309186548700861e-06
12,0.03799754388060482,1.107443593948566e-05,1.231606750480005e-06
13,0.03160904642234445,1.009865384653639e-05,1.165026746753916e-06
14,0.0269447879553403,9.340496019214763e-06,1.110255271076965e-06
15,0.02325629858726423,8.712576044863083e-06,1.059999850168147e-06
16,0.02042024419790702,8.172246165635028e-06,1.016937575953984e-06
17,0.01811389093143329,7.694420959271106e-06,9.79283964972891e-07
18,0.01622625654372993,7.269125965087604e-06,9.458878626794919e-07
19,0.0147915749847711,6.883583959547407e-06,9.1592297940825e-07
20,0.01437169161389165,6.530842848066223e-06,8.928918008774733e-07
21,0.01386711070133544,6.20816306505571e-06,8.696644567637803e-07
22,0.01254606395897832,5.913773284736256e-06,8.40700764516999e-07
23,0.01216112723929537,5.637154477635594e-06,8.172244815481808e-07
24,0.01108041486715717,5.382483183248408e-06,7.897525610694903e-07
25,0.01074083131834509,5.141132699250429e-06,7.670201668186003e-07
26,0.009826668650478163,4.91696140134629e-06,7.414608499376208e-07
27,0.009532984825626136,4.704186366433165e-06,7.199287950866709e-07
28,0.009154924504943008,4.503974514093686e-06,6.984973633515624e-07
29,0.008730288541664629,4.315104984653984e-06,6.77048750502578e-07
30,0.008278679316456922,4.136557573776891e-06,6.555255799377058e-07
31,0.007835614437395022,3.967108002773445e-06,6.3426144748188e-07
32,0.007371869184072381,3.806171270769727e-06,6.129506131780908e-07
33,0.006926430882563998,3.652957178524965e-06,5.921134898046861e-07
34,0.006528870450391082,3.507581755920779e-06,5.720998995037101e-07
35,0.006145797737917309,3.368976959063082e-06,5.525345522136578e-07
36,0.0058115575438755,3.237063264264284e-06,5.336246794887561e-07
